"Año","Media","Superior","Total","tasa_Media","tasa_Superior"
2012,18,17,35,0.204545454545455,0.0923913043478261
2013,24,19,43,0.272727272727273,0.102702702702703
2014,18,24,42,0.204545454545455,0.127659574468085
2015,14,24,38,0.159090909090909,0.126984126984127
2016,30,32,62,0.348837209302326,0.169312169312169
2017,26,35,61,0.298850574712644,0.185185185185185
2018,42,33,75,0.471910112359551,0.176470588235294
2019,37,37,74,0.415730337078652,0.193717277486911
